Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-11-18,38228,37943,38249,37810,23230,0.59,16.795,12.97,15.18,2019-11-21,"11,968.40","12,025.65","12,028.20","11,956.90",557.69M,-0.26%,"40,575.17","40,737.31","40,744.85","40,534.12",21.78M,-0.19%
2019-11-15,38002,38236,38236,37922,17270,-0.7,16.87,13.1,15.29,2019-11-20,"11,999.10","12,004.75","12,038.60","11,966.05",646.66M,0.49%,"40,651.64","40,729.80","40,816.38","40,575.96",32.31M,0.45%
2019-11-14,38269,38106,38295,38060,20590,0.43,17.035,13.27,15.5,2019-11-19,"11,940.10","11,919.45","11,958.85","11,881.75",613.91M,0.47%,"40,469.70","40,455.36","40,544.13","40,290.21",39.07M,0.46%
2019-11-13,38107,37820,38150,37800,23100,0.97,16.95,13.21,15.4,2019-11-18,"11,884.50","11,915.15","11,946.20","11,867.60",514.35M,-0.09%,"40,284.19","40,431.08","40,542.40","40,221.97",28.72M,-0.18%
2019-11-12,37740,37650,37800,37542,12900,0.14,16.735,13.04,15.19,2019-11-15,"11,895.45","11,904.20","11,973.65","11,879.25",580.15M,0.20%,"40,356.69","40,408.20","40,650.06","40,308.09",25.75M,0.17%
2019-11-11,37688,37710,37850,37532,17280,-0.05,16.88,13.16,15.31,2019-11-14,"11,872.10","11,858.75","11,895.65","11,802.65",559.49M,0.27%,"40,286.48","40,178.93","40,348.61","40,026.99",27.75M,0.42%
2019-11-08,37705,37655,37880,37488,27500,0.29,16.81,13.13,15.24,2019-11-13,"11,840.45","11,908.30","11,946.80","11,823.20",659.04M,-0.61%,"40,116.06","40,346.43","40,447.17","40,061.23",37.71M,-0.57%
2019-11-07,37595,38188,38245,37536,27880,-1.68,17.53,13.66,15.83,2019-11-11,"11,913.45","11,879.20","11,932.65","11,853.95",548.98M,0.04%,"40,345.08","40,316.50","40,417.44","40,150.97",29.53M,0.05%
2019-11-06,38239,37980,38273,37957,20310,-0.57,17.54,13.61,15.83,2019-11-08,"11,908.15","11,987.15","12,034.15","11,888.75",789.25M,-0.86%,"40,323.61","40,630.56","40,749.33","40,263.94",42.61M,-0.81%
2019-11-05,38458,38839,39049,38300,170,-0.71,18.045,13.98,16.23,2019-11-07,"12,012.05","12,021.10","12,021.40","11,946.85",562.96M,0.38%,"40,653.74","40,625.64","40,688.27","40,421.07",30.17M,0.45%
